|CanTrx_Tarjetas|MonTrx_Tarjetas|SaldoCTS|SOW_SCO|CanTrx_TC|Can_Ingresos_Glomo|NroCtasAhorro|MaxLinTC|SaldoActivo_SSFF|Edad|SaldoAhorro|ME_TOTAL|Sueldo
142|35|3575.08|24.22|0.0|35|0|5|43500.0|3726.01|65|24017.419|22719.8|266365.0
143|20|3499.41|3760.74|0.0|0|9|2|3500.0|582701.75|45|16578.892|17224.41|15152.79
144|46|2725.39|580.01|0.0|2|10|4|51000.0|44360.44|47|53376.09135|12388.829|5530.05
145|10|1996.36|0.0|0.0158|10|29|3|126252.52|26734.56|77|29462.49392|12193.964|857.0
146|35|2082.71|0.0|0.0|27|35|1|7200.0|1896.32|32|39.64|3200.24|3182.21
147|4|1800.25|0.0|0.0|4|11|1|7000.0|6596.62|27|1145.94|2432.67|1147.02
148|18|1240.59|29852.05968|0.0|0|26|1|21200.0|329.21|60|12665.42|29608.34|8992.44
149|22|7261.22|3923.67424|0.0|21|0|3|22200.0|15448.35|32|28182.5|6820.42|3774.89
150|5|624.9|0.756|0.0|3|0|1|3000.0|2862.06|43|1203.76|1914.9|2781.42
151|14|1517.01|0.03|0.0|1|6|3|6000.0|4268.23|26|713.94|4627.34|3496.07
152|53|4383.49|0.0|0.9777|0|3|2|72000.0|1042337.25|45|16179.55|210931.1|16267.0
153|18|1811.62|0.02|0.0|10|0|1|9700.0|9254.5|29|1.69|2106.38|1702.59
154|16|1364.39|0.17|0.0|11|29|2|5800.0|4873.15|48|1365.73|2367.5|1878.5
155|6|311.2|0.0|0.8772|0|4|1|5000.0|31323.5|38|0.58|1686.3|2346.88
156|32|2618.61|0.43|0.989|0|12|3|9763.4|537.26|45|5079.74172|6977.32|3850.08
157|10|1024.71|283.7385|0.0|5|0|4|18501.0|54598.98|41|9247.0126|15420.883|9026.37
158|31|2529.75|0.0|0.0|1|17|1|21000.0|27042.43|30|2594.06|2521.71|2232.86
159|41|6161.76|4958.85|0.0|22|0|3|62600.0|57544.42|45|1309.5806|3386.72|2966.9
160|4|92.0|0.28|0.0|0|116|2|2200.0|21228.03|46|317.98|4172.0|4179.23
161|1|300.0|0.0|0.4008|0|4|1|13166.2|24638.26|36|1244.33|3039.3|1361.98
162|60|4069.56|0.0|0.0|58|9|2|19200.0|8210.95|29|9910.70482|10766.687|16048.1
163|13|1420.04|0.0|0.0|2|20|1|4800.0|10494.07|39|2553.94|4323.1|6225.78
164|58|3798.63|2.40175|0.0|17|0|2|5500.0|17003.34|32|162.48035|6735.05|3036.75
165|30|1247.72|1.85|0.0|0|16|2|12200.0|4751.55|36|1838.3|2973.38|2519.84
