|GNB|2_Premium|LIMA_MODERNA|A|B|Riesgo_Bajo|LIMA_SUR|Antiguedad_SSFF|NroTrxAgencia|1_Beyond|Frescura|NroTrxATM|SBP|Can_Contactabilidad_3UM|3_Preferente|SaldoHIP|D|Superior|SaldoVEH|DIVORCIADO|ImporteTrxWeb|ImporteTrxCorresponsal|M|MontoOfertado|Edad|class
80|0|0|0|0|0|0|0|6.0|3.0|0|3.0|7.0|0|0.0|0|0.0|1|0|0.0|0|0.0|0.0|0|6150.0|63.0|0.0
81|0|0|0|0|0|0|0|2.0|8.0|0|3.0|7.0|0|0.0|0|0.0|0|1|0.0|0|0.0|5883.15|0|8000.0|55.0|0.0
82|0|0|0|0|0|0|0|7.0|0.0|0|1.0|8.0|0|0.0|1|182002.88|0|0|0.0|0|0.0|3102.75|1|7550.0|66.0|1.0
83|0|0|0|0|0|0|0|15.0|4.0|1|1.0|7.0|0|0.0|0|0.0|0|0|0.0|1|0.0|2590.11|1|11000.0|40.0|0.0
84|0|0|0|0|0|0|0|3.0|5.0|0|4.0|8.0|0|0.0|1|0.0|0|0|0.0|0|1792.47|787.55|1|4800.0|37.0|0.0
85|0|1|1|0|0|1|0|2.0|5.0|0|0.0|0.0|0|0.0|0|0.0|0|0|0.0|0|0.0|4188.76|0|6100.0|70.0|1.0
86|0|0|0|0|0|0|0|1.0|0.0|0|4.0|6.0|0|2.0|0|0.0|0|0|0.0|0|0.0|615.69|0|5900.0|40.0|0.0
87|0|0|0|0|0|1|0|4.0|5.0|0|1.0|8.0|0|3.0|0|0.0|0|1|0.0|0|873.66|0.0|0|6950.0|62.0|0.0
88|0|0|0|0|0|0|0|2.0|6.0|1|1.0|9.0|0|0.0|0|0.0|0|0|0.0|1|3391.17|5051.24|1|6150.0|49.0|1.0
89|1|0|1|1|0|1|0|28.0|5.0|1|2.0|9.0|0|0.0|0|0.0|0|1|0.0|0|608.65|0.0|0|18000.0|48.0|1.0
90|0|1|0|0|0|0|0|8.0|6.0|0|4.0|8.0|0|0.0|0|0.0|0|0|0.0|0|0.0|6010.71|1|1000.0|0.0|1.0
91|0|0|0|0|0|0|1|6.0|6.0|0|4.0|7.0|0|3.0|1|0.0|0|0|0.0|0|0.0|405.47|1|2450.0|62.0|0.0
92|0|1|0|0|0|0|0|4.0|0.0|0|2.0|6.0|0|0.0|0|0.0|0|0|0.0|0|0.0|0.0|1|11150.0|68.0|0.0
93|0|0|0|0|0|1|0|5.0|0.0|0|5.0|7.0|1|1.0|0|0.0|1|1|0.0|0|517.65|0.0|1|15000.0|60.0|0.0
94|0|0|0|0|0|0|1|1.0|0.0|0|4.0|8.0|0|0.0|0|0.0|0|0|0.0|0|2448.81|0.0|0|7700.0|50.0|1.0
95|0|0|1|0|0|1|0|9.0|7.0|0|3.0|11.0|0|0.0|0|0.0|1|1|0.0|0|0.0|4741.49|0|18000.0|64.0|1.0
96|0|0|0|0|0|0|0|2.0|6.0|0|3.0|9.0|0|0.0|1|0.0|0|0|0.0|1|0.0|1197.04|1|5950.0|72.0|0.0
97|0|0|0|0|0|0|0|3.0|5.0|0|3.0|9.0|1|0.0|0|0.0|0|0|0.0|0|0.0|6500.14|0|3100.0|52.0|1.0
98|0|0|0|0|0|1|0|8.0|0.0|0|0.0|6.0|0|0.0|0|196679.09|0|1|0.0|0|2459.65|341.27|0|19900.0|60.0|0.0
99|0|0|0|0|0|0|0|3.0|5.0|1|4.0|8.0|0|0.0|0|0.0|0|0|0.0|0|4373.87|0.0|1|2000.0|32.0|0.0
100|0|0|1|0|1|0|0|27.0|7.0|0|4.0|0.0|0|2.0|1|0.0|0|0|0.0|0|0.0|0.0|1|14000.0|30.0|0.0
101|1|0|0|0|0|0|0|5.0|4.0|0|4.0|8.0|0|0.0|1|0.0|0|0|0.0|1|1815.78|1100.27|1|9800.0|56.0|0.0
102|0|1|0|0|0|0|0|6.0|6.0|0|4.0|0.0|0|2.0|0|0.0|0|0|0.0|0|0.0|0.0|1|8850.0|44.0|1.0
